"Source","Target","weight"
221,147,1.04493
222,4,31.71188
222,6,43.84713
222,37,24.13367
223,4,113.80907
223,16,28.09245
224,32,11.99248
225,1,150.77623
225,2,24.10607
226,3,134.16481
226,11,51.30864
227,17,50.79964
227,94,4.2492
227,131,0.42195
228,79,9.12965
229,15,1.34973
230,15,43.96932
231,24,20.16981
231,55,7.93532
232,210,0.75064
233,4,68.42674
233,16,63.5908
233,54,4.13422
234,29,5.38447
235,35,20.08907
236,3,19.59128
236,121,0.82542
237,20,49.89864
238,73,9.6412
238,83,3.11657
239,25,7.71766
239,63,2.24935
239,179,0.06584
240,1,87.21609
240,7,27.59396
240,92,3.87546
241,64,7.08253
241,167,0.87536
242,1,95.33607
243,25,17.5509
243,63,0.23325
243,109,0.8733
244,6,8.23123
244,8,12.53817
244,37,22.10889
244,74,2.71053
245,1,51.76717
245,2,49.84433
245,92,1.70213
246,8,18.3503
247,64,6.78592
247,261,0.0532
248,1,141.94856
248,9,113.95113
249,5,140.60751
249,13,12.93948
249,115,2.60321
250,27,24.37332
251,35,10.80648
252,40,16.38081
252,79,7.53534
253,8,40.37217
253,48,4.13914
254,30,35.14522
254,31,37.13967
255,76,5.22502
256,25,21.99296
256,86,0.9007
256,107,3.45459
257,53,5.78538
257,80,6.81723
258,1,150.23058
258,2,50.60538
258,190,0.6357
259,12,51.27833
259,23,54.44958
260,17,34.27041
260,87,7.53917
261,64,0.89884
261,137,1.14097
261,247,0.07647
262,79,1.69862
263,49,2.60232
263,53,9.05375
263,68,6.89068
263,143,3.98025
265,40,42.02678
266,10,7.3442
266,89,0.79425
266,106,6.97048
267,1,215.21106
267,2,116.05807
267,70,5.25169
268,27,6.66931
268,44,15.02746
268,193,1.81618
269,29,4.96356
269,50,16.32167
270,4,3.37004
270,54,16.05949
270,74,17.69291
271,66,7.12885
